	Elizabeth.Chris.WT.Ile.732542	Uri.Jake.TGIle.732486	Uri.Jake.TGCec.732550	Nick.Krishna.TG.Oral.732464	Joey.Aaron.Kyle.WT.Ile.732540	Wang.TG.Fec.732515	Ryan.WT.Abd.732465	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	TH.CVA.WT.Ile.732517	Brad.Jon.WT.Oral.732528	TH.CVA.WT.Fec.732553	Brad.Jon.WT.Col.732469	Brad.Jon.WT.Con1.732543	Joey.Aaron.Kyle.WT.Fec.732462	Chen.Lladser.WT.Fec.732512	Wang.TG.Ile.732525	Uri.Jake.TGOral.732536	Elizabeth.Chris.WT.Oral.732520	Joey.Aaron.Kyle.WT.Abd.732541	Ryan.WT.Fec.732502	Jordan.Lisette.TG.Ile.732463	Elizabeth.Chris.WT.Fec.732549	Joshua.Jose.WTIle.732530	Gail.TG.Abd.732538	Joey.Aaron.Kyle.WT.Col.732503	Joey.Aaron.Kyle.WT.Oral.732506	Joshua.Jose.WTOral.732551	Nick.Krishna.TG.Abd.732510	Chen.Lladser.WT.Col.732473	Nick.Krishna.TG.Cec.732493	Nick.Krishna.TG.Ile.732501	Brad.Jon.WT.Fec.732480	Ryan.WT.Ile.732523	BLANK11.732489	Joey.Aaron.Kyle.WT.Con1.732511	Elizabeth.Chris.WT.Col.732481	Brad.Jon.WT.Cec.732554	Jordan.Lisette.TG.Cec.732483	Gail.TG.Ile.732556	Chen.Lladser.WT.Oral.732521	Brad.Jon.WT.Abd.732474	TH.CVA.WT.Con1.732476	Gail.TG.Cec.732526	Chen.Lladser.WT.Ile.732478	Uri.Jake.TGCon1.732472	Jordan.Lisette.TG.Fec.732499	Gail.TG.Fec.732514	Ryan.WT.Con7.732519	Wang.TG.Oral.732507	Joshua.Jose.WTCec.732546	TH.CVA.WT.Cec.732496	Elizabeth.Chris.WT.Cec.732516	Joshua.Jose.WTCol.732534	Joshua.Jose.WTCon1.732471	Ryan.WT.Cec.732545	Chen.Lladser.WT.Con1.732529	Wang.TG.Abd.732547	Ryan.WT.Col.732487	Elizabeth.Chris.WT.Con1.732495	Brad.Jon.WT.Ile.732492	Chen.Lladser.WT.Abd.732488	Jordan.Lisette.TG.Col.732461	Ryan.WT.Oral.732500	Joshua.Jose.WTFec.732466	Jordan.Lisette.TG.Oral.732539	Gail.TG.Oral.732531	Nick.Krishna.TG.Con1.732508	Wang.TG.Cec.732527	Joey.Aaron.Kyle.WT.Cec.732518	Wang.TG.Con1.732535	Gail.TG.Con1.732475	Uri.Jake.TGFec.732494	Chen.Lladser.WT.Cec.732509	Jordan.Lisette.TG.Con1.732484	Wang.TG.Col.732505	Uri.Jake.TGCol.732482	Nick.Krishna.TG.Col.732532
Brad.Jon.WT.Oral.732528	0.682321700857	0.722609443233	0.606823304998	0.280720555019	0.72120989266	0.571021823602	0.72594852206	0.610635748156	0.566019059542	0.688250038649	0.0	0.62396228669	0.779977031822	0.685475560052	0.67292628596	0.635866189452	0.760580209743	0.361103037142	0.44098884632	0.646211026959	0.639286898781	0.65111589766	0.670975972899	0.782990033104	0.397360640872	0.654150771846	0.662823750744	0.646876871813	0.394224543732	0.646741395797	0.60692842437	0.597468449943	0.627989752326	0.841928686364	0.668451591759	0.771506487547	0.798387433353	0.676283412928	0.657757221502	0.602345494565	0.312794153249	0.629673626897	0.762952435115	0.613467236203	0.733761798682	0.659359322746	0.640947547031	0.565380587307	0.762182623386	0.15362315207	0.738038814992	0.613894350517	0.672663644812	0.664338184812	0.773948147053	0.738041311115	0.752614848483	0.671453331192	0.710407366838	0.729340074846	0.766462124251	0.545210067012	0.62977200016	0.714730890431	0.669187323756	0.304427500859	0.0922663756611	0.679470951448	0.609162507301	0.773997080078	0.638429143378	0.641280438525	0.591972647185	0.62684967232	0.679019834451	0.58337089889	0.604833596114	0.624287578429
TH.CVA.WT.Fec.732553	0.343564854528	0.308382408316	0.193875627202	0.636383226986	0.37254672287	0.269696290826	0.397982385056	0.192722973405	0.224866478947	0.326833918458	0.62396228669	0.0	0.442002116305	0.295597735377	0.337323051564	0.188734855658	0.39741172292	0.630355517592	0.522134601249	0.268537841178	0.335586582481	0.282614621077	0.340320622033	0.515653283749	0.574104227248	0.317229662218	0.264907628758	0.517697991322	0.458632368827	0.269308543927	0.199109539038	0.22547657542	0.220153000015	0.583652445355	0.511662801087	0.451091242635	0.520434516063	0.288649141494	0.261621382668	0.256989295158	0.478510554267	0.226542665393	0.346559342168	0.232620364942	0.346802959663	0.230652178571	0.240453257617	0.291884735292	0.42018756459	0.605224627285	0.419767651841	0.121321580048	0.365823319453	0.365156445934	0.446092198479	0.384658415591	0.420522137297	0.519545923468	0.399413058092	0.416914672307	0.425609757341	0.603835024324	0.217515182731	0.261369018719	0.349690530943	0.616908296268	0.610636899873	0.328816446097	0.20003312641	0.434138552258	0.27135335942	0.26974630006	0.211739559281	0.226798010657	0.256470760181	0.243539885017	0.204192781544	0.18139919317
Brad.Jon.WT.Col.732469	0.504262244624	0.378390329737	0.497070055086	0.753084442555	0.45302306321	0.51311475443	0.470998449101	0.447116689858	0.462680764374	0.558227467143	0.779977031822	0.442002116305	0.0	0.312312916213	0.514912112827	0.375442357051	0.171502937655	0.749778094797	0.685955408844	0.46186481876	0.490838364762	0.502693229051	0.499169772582	0.489954592409	0.677880245703	0.521064305869	0.448055720446	0.617518068549	0.60013245347	0.517948065964	0.500702752659	0.434534285057	0.495426256768	0.529762656139	0.62536988609	0.453579637686	0.394027700925	0.565320578324	0.535145321016	0.424662924382	0.639790886076	0.414162258982	0.293048048377	0.526126277343	0.358911012716	0.311498566316	0.534449900232	0.515724095819	0.411852022867	0.75294072903	0.529050987807	0.463661147119	0.522226366687	0.552527474509	0.506592185565	0.465583344317	0.221629963764	0.610181993741	0.490303094168	0.47436984915	0.217755758379	0.697076886418	0.54547653837	0.31204878055	0.530494204896	0.738369573042	0.7626435054	0.264323197143	0.516063951322	0.467693445964	0.297131052977	0.294771302741	0.458039126603	0.465648732919	0.38952318981	0.518053900595	0.447424760349	0.443634030554
Brad.Jon.WT.Con1.732543	0.391376548127	0.326339593268	0.325413211722	0.664997420544	0.388516692372	0.408572151909	0.409712441936	0.386850631431	0.353697068659	0.371475857512	0.685475560052	0.295597735377	0.312312916213	0.0	0.430405939972	0.270678089321	0.247592322199	0.656752709872	0.609053796655	0.337780381368	0.432810757251	0.347302049862	0.407072230096	0.475757860273	0.586272342637	0.438101488411	0.284263392363	0.529517609743	0.506381298188	0.348118535986	0.319478212439	0.341560923204	0.351247364083	0.550244621002	0.532067499055	0.404833683404	0.419624098976	0.370403106286	0.392406909235	0.315201482878	0.525870035092	0.311451484569	0.28554691333	0.309896055032	0.351928491994	0.230962271015	0.387371744813	0.425165150146	0.35694261873	0.653691296456	0.444860400984	0.327975952757	0.410854328348	0.440347391255	0.438832617577	0.408228870137	0.275157910927	0.517773423997	0.417940495706	0.362196024464	0.273954062624	0.583950252272	0.388341634527	0.254048258548	0.452487412645	0.643537242253	0.667516395208	0.202334485842	0.303805902454	0.42408463275	0.195318209121	0.194704850358	0.381317029384	0.303618585932	0.297398200014	0.375070007871	0.359466072021	0.263600389914
Joey.Aaron.Kyle.WT.Fec.732462	0.227235186628	0.464768615637	0.346177246191	0.671094532813	0.213156849141	0.373566925868	0.317114487609	0.362610749417	0.380792470102	0.435203742633	0.67292628596	0.337323051564	0.514912112827	0.430405939972	0.0	0.354023839758	0.483470470543	0.675776007767	0.5979846557	0.390513141598	0.261598217677	0.344072988035	0.199496860026	0.512420869844	0.627095312786	0.0996040556208	0.351630749002	0.523524470636	0.534494592741	0.394674110644	0.324215070028	0.414548220022	0.356963883046	0.574120843044	0.520422517937	0.352667766075	0.534266450329	0.39353702289	0.34365197394	0.430935724903	0.437184726686	0.324004013976	0.46555704175	0.367018171691	0.472121413251	0.376374945728	0.33066076395	0.40592863293	0.352469537351	0.652731450018	0.224000041058	0.355466208379	0.237266884437	0.175471835785	0.348053196814	0.28764418238	0.50445193437	0.525330517246	0.328462620531	0.365305827407	0.498499889656	0.639844787575	0.351574509018	0.408623955114	0.163177059078	0.656767435554	0.656312745256	0.454032962646	0.33447396869	0.24742062836	0.391982885514	0.39709091366	0.360435501955	0.388689962818	0.376664163934	0.348543360566	0.344140812563	0.318918529969
Chen.Lladser.WT.Fec.732512	0.344828611515	0.246372118464	0.187052230818	0.650933099266	0.370481978964	0.267090349938	0.431169076785	0.22072738817	0.211473502024	0.370867539565	0.635866189452	0.188734855658	0.375442357051	0.270678089321	0.354023839758	0.0	0.320414093006	0.642530729094	0.523529191318	0.256729706972	0.341153651503	0.296326165695	0.351777231616	0.496541358155	0.574101016301	0.331291454545	0.260860959034	0.516125996256	0.456713001292	0.258334059365	0.211449625874	0.179395688826	0.248995353174	0.576863445656	0.512084771276	0.421767007951	0.49826170751	0.333633743456	0.327674713004	0.235482131879	0.49822126458	0.196914488637	0.317526513532	0.272066694089	0.250203241203	0.140417999313	0.307827483249	0.281439831085	0.402561837915	0.611031843146	0.442340484676	0.195361163746	0.400515394142	0.400146826558	0.458034670918	0.413171417485	0.318532756174	0.508812218896	0.442405565784	0.409993588075	0.374166767176	0.568078200099	0.292375514364	0.268429871795	0.377968242519	0.626737737001	0.624510762253	0.233337161808	0.233026038723	0.430757280266	0.211459068649	0.191227787502	0.197239562607	0.168207737494	0.308600232662	0.249374824195	0.176376447499	0.178895679249
Wang.TG.Ile.732525	0.454932684518	0.370530803671	0.423908472307	0.737394803886	0.431279834782	0.4606870227	0.440936839214	0.437812528224	0.405376666454	0.503829544713	0.760580209743	0.39741172292	0.171502937655	0.247592322199	0.483470470543	0.320414093006	0.0	0.732780443333	0.646431048441	0.426045827509	0.474164976224	0.432696756851	0.462840883581	0.470705062707	0.659831390989	0.49200677779	0.378199984766	0.597915613954	0.575732019006	0.446260553196	0.425665111367	0.418901015593	0.428421485903	0.528819071378	0.604971044392	0.447150043968	0.338244687827	0.493963609832	0.471239274491	0.413779547303	0.612177904702	0.355051933114	0.264942903501	0.450578035299	0.358991212046	0.263882851834	0.4680770724	0.472011010589	0.379419933498	0.728582584132	0.504779785613	0.424014406366	0.483817971041	0.514729397739	0.49156219047	0.445616947365	0.204708741747	0.588524887987	0.456766598125	0.447095974244	0.138413269278	0.659918331532	0.480149854082	0.290476548097	0.505867559536	0.720536962406	0.74207157212	0.233861111792	0.432597454867	0.450637256875	0.223292729345	0.252292552755	0.415116778795	0.414639125415	0.333745863378	0.447108511022	0.397629731066	0.372584075901
Uri.Jake.TGOral.732536	0.67534023189	0.706951636911	0.623101685181	0.108533638951	0.705693340007	0.59103164279	0.699491985979	0.618614359505	0.581820154434	0.668501335136	0.361103037142	0.630355517592	0.749778094797	0.656752709872	0.675776007767	0.642530729094	0.732780443333	0.0	0.758062806377	0.62578925447	0.659895682811	0.63943114648	0.671383110053	0.745189255157	0.196644061578	0.670117106482	0.64629394842	0.610577064588	0.346369725331	0.633326337788	0.615717748281	0.619341600753	0.627993050956	0.809741368751	0.632237393249	0.73823595116	0.762978283622	0.666217319988	0.654912727592	0.612703067925	0.338907439257	0.618901049519	0.730102544819	0.611467239689	0.716976294092	0.658263453336	0.645016719684	0.585282387803	0.744602317962	0.294633230321	0.717977099149	0.62221171635	0.6605359027	0.656806382172	0.748282611042	0.713224519182	0.712722147749	0.634478820512	0.6893873644	0.696201330583	0.741306142086	0.577538946085	0.637436578695	0.688949657532	0.672683890369	0.142108614446	0.296793053355	0.657923304356	0.620342907614	0.752928939802	0.646521824899	0.642092253687	0.607952400363	0.635704430053	0.674985939351	0.5997372085	0.619112653911	0.623968630605
Elizabeth.Chris.WT.Oral.732520	0.596675254748	0.607915880267	0.51075658931	0.697458244071	0.622518770956	0.493148075946	0.643173908805	0.519792869822	0.465604630255	0.652216348142	0.44098884632	0.522134601249	0.685955408844	0.609053796655	0.5979846557	0.523529191318	0.646431048441	0.758062806377	0.0	0.551029195765	0.547217388812	0.531021603046	0.590692031468	0.713173247091	0.724644284444	0.572113916216	0.566523269905	0.694592091983	0.630631093279	0.589860087438	0.52229161992	0.500881608457	0.536617565025	0.757040861005	0.712795538343	0.695717268788	0.702276417051	0.609321810662	0.57578273277	0.545662367678	0.584556192443	0.509702295878	0.647676549474	0.554359790119	0.622476969268	0.542214352314	0.557140996184	0.520475575537	0.659193850832	0.506703311742	0.671879356567	0.513801488461	0.613216375255	0.621176862579	0.680497431864	0.648156893695	0.682661179048	0.712776417807	0.623754141404	0.669029582679	0.671300200156	0.694396444237	0.548450882125	0.585767875944	0.604871465874	0.685742904825	0.504197778408	0.610778042211	0.533973542321	0.675253053135	0.544168790159	0.558041461582	0.490537575122	0.54126820131	0.5690498631	0.501395636207	0.478365877496	0.52573676432
Joey.Aaron.Kyle.WT.Abd.732541	0.390208465159	0.370466000413	0.303487655802	0.632871734282	0.384957527409	0.373842246928	0.432297993635	0.315527939266	0.328477281812	0.342252352746	0.646211026959	0.268537841178	0.46186481876	0.337780381368	0.390513141598	0.256729706972	0.426045827509	0.62578925447	0.551029195765	0.0	0.422549066755	0.256338776697	0.406445442863	0.513036025679	0.536112764746	0.391005716709	0.289336061945	0.455224293645	0.373463803467	0.272045627603	0.29771324914	0.311318966653	0.321338794511	0.602857852561	0.470272230291	0.440326523226	0.539217273937	0.336550014314	0.325129401585	0.328807529137	0.473130192939	0.219399559351	0.406453854189	0.293065608167	0.37817537936	0.288685989602	0.316934966192	0.380666188232	0.458699023509	0.590581930173	0.451616102757	0.266374336758	0.390245239536	0.398094261769	0.480301692119	0.429436887134	0.42031359022	0.456384374314	0.418118007341	0.414337555379	0.447216050704	0.569881155172	0.316786537997	0.304358199384	0.418605946568	0.610075000093	0.625296498824	0.329850402455	0.289649531508	0.461211890813	0.353624583846	0.325655281013	0.323805197056	0.301651038928	0.371595486912	0.342014050192	0.311323264277	0.267154698698
