	Ryan.WT.Con7.732519	Ryan.WT.Abd.732465	Ryan.WT.Col.732487	Ryan.WT.Cec.732545	Ryan.WT.Fec.732502	TH.CVA.WT.Cec.732496	Uri.Jake.TGCec.732550	Jordan.Lisette.TG.Cec.732483	Joshua.Jose.WTFec.732466	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	Joey.Aaron.Kyle.WT.Col.732503	Joey.Aaron.Kyle.WT.Cec.732518	Elizabeth.Chris.WT.Cec.732516	Elizabeth.Chris.WT.Fec.732549	Uri.Jake.TGCol.732482	Joshua.Jose.WTCon1.732471	Joey.Aaron.Kyle.WT.Con1.732511	Joshua.Jose.WTCol.732534	Chen.Lladser.WT.Cec.732509	TH.CVA.WT.Fec.732553	Nick.Krishna.TG.Ile.732501	Joey.Aaron.Kyle.WT.Fec.732462	Wang.TG.Col.732505	Brad.Jon.WT.Fec.732480	Nick.Krishna.TG.Cec.732493	Nick.Krishna.TG.Col.732532	Jordan.Lisette.TG.Con1.732484	Uri.Jake.TGFec.732494	Joey.Aaron.Kyle.WT.Ile.732540	Gail.TG.Fec.732514	Brad.Jon.WT.Col.732469	Wang.TG.Cec.732527	Elizabeth.Chris.WT.Con1.732495	Uri.Jake.TGIle.732486	TH.CVA.WT.Ile.732517	Uri.Jake.TGCon1.732472	Gail.TG.Cec.732526	Jordan.Lisette.TG.Fec.732499	Gail.TG.Ile.732556	Wang.TG.Ile.732525	Elizabeth.Chris.WT.Ile.732542	Gail.TG.Con1.732475	Joshua.Jose.WTCec.732546	Chen.Lladser.WT.Fec.732512	Jordan.Lisette.TG.Col.732461	Wang.TG.Con1.732535	Brad.Jon.WT.Ile.732492	Joey.Aaron.Kyle.WT.Oral.732506	Joey.Aaron.Kyle.WT.Abd.732541	Wang.TG.Fec.732515	Chen.Lladser.WT.Ile.732478	Chen.Lladser.WT.Oral.732521	Ryan.WT.Oral.732500	Chen.Lladser.WT.Col.732473	Nick.Krishna.TG.Abd.732510	Joshua.Jose.WTOral.732551	Brad.Jon.WT.Cec.732554	Joshua.Jose.WTIle.732530	Wang.TG.Abd.732547	BLANK11.732489	Chen.Lladser.WT.Con1.732529	Brad.Jon.WT.Con1.732543	Brad.Jon.WT.Abd.732474	TH.CVA.WT.Con1.732476	Nick.Krishna.TG.Con1.732508	Jordan.Lisette.TG.Ile.732463	Gail.TG.Abd.732538	Chen.Lladser.WT.Abd.732488	Nick.Krishna.TG.Oral.732464	Jordan.Lisette.TG.Oral.732539	Elizabeth.Chris.WT.Col.732481	Brad.Jon.WT.Oral.732528	Uri.Jake.TGOral.732536	Elizabeth.Chris.WT.Oral.732520	Ryan.WT.Ile.732523	Wang.TG.Oral.732507	Gail.TG.Oral.732531
Gail.TG.Col.732544	0.540053908122	0.508826890979	0.487922779028	0.492952351685	0.331499589352	0.222870797269	0.222269522579	0.339542944211	0.355201154038	0.246919380062	0.0	0.333352606987	0.524590170433	0.42137294002	0.373732701884	0.182451213138	0.538604872221	0.564540269637	0.400563669493	0.265789240939	0.238711574114	0.238501201033	0.379111795814	0.160739025244	0.195398167358	0.237864026488	0.26046403434	0.414796156469	0.140423408733	0.463705434025	0.0929847312627	0.620115335613	0.27060891575	0.478838611066	0.538926632017	0.456789164215	0.361132128278	0.284927853102	0.317365104927	0.244926613993	0.564950076565	0.388067834847	0.390874886497	0.458900383246	0.276785230681	0.301003667343	0.356347100828	0.638330012608	0.37836591152	0.390036057094	0.0975360229834	0.542992259411	0.64829283861	0.489948185156	0.362142412269	0.617689344135	0.546292441217	0.333356289894	0.495788373642	0.536489246312	0.538688995415	0.58508383624	0.46291031567	0.315697245365	0.603172217446	0.471288266894	0.306234631229	0.74676639662	0.644029877568	0.802170563229	0.818615231957	0.839244882327	0.786844831408	0.832009042951	0.597842597095	0.61699999489	0.796025200755	0.771128016844
Joey.Aaron.Kyle.WT.Col.732503	0.4340065137	0.401337257064	0.375309997801	0.357876763992	0.228214197105	0.283595241844	0.266113115093	0.364474015414	0.129271784976	0.30374398346	0.333352606987	0.0	0.32935024277	0.287884980019	0.195397824806	0.275479979325	0.383609017988	0.420850459971	0.200294170756	0.322277077877	0.281550509993	0.343206707866	0.102305720193	0.295181849179	0.304560705513	0.278805499655	0.314655089741	0.43217750385	0.29633245348	0.261024824338	0.356028125431	0.64874743098	0.323627652679	0.405230929447	0.574988236014	0.440871219848	0.388696882369	0.343863356696	0.34189643626	0.370037126886	0.603662150354	0.224132355761	0.462717530865	0.259380189273	0.331408796055	0.338105492764	0.446145466559	0.672738427938	0.375019079598	0.405372722032	0.328267018191	0.58331524635	0.541615796803	0.495942242179	0.373531588713	0.609140199128	0.539419178842	0.361545636137	0.489508058232	0.546029228324	0.537224905315	0.613976709604	0.482944984637	0.32879836286	0.597091679489	0.512402724596	0.312680665208	0.74445101989	0.642538642316	0.769403443523	0.787652163365	0.824750353655	0.754527828032	0.79885881247	0.584874247721	0.588124419427	0.771426191026	0.739597232062
Joey.Aaron.Kyle.WT.Cec.732518	0.295724838871	0.376945732705	0.413618384678	0.311465006887	0.40309134503	0.451189235537	0.453610702441	0.485348402905	0.332610316956	0.451138087706	0.524590170433	0.32935024277	0.0	0.428836921003	0.343348204085	0.477638100759	0.245448019722	0.196168634958	0.378360761397	0.428934394917	0.444411194218	0.481145826446	0.287690921413	0.489365407194	0.47509057514	0.459259200191	0.433041736829	0.439087605204	0.490612493834	0.207382101771	0.56237623348	0.511801237605	0.474827120506	0.287299946078	0.448063691746	0.445851518958	0.42282896736	0.46256465901	0.475160473392	0.488429533173	0.462682681628	0.36130076031	0.463656417872	0.248947334711	0.429501396427	0.491824554074	0.44357984642	0.514051656495	0.40806172865	0.396989641581	0.551497771219	0.463726386503	0.470444625691	0.364257260436	0.466563653443	0.521738718578	0.600900896117	0.481317220462	0.492121899213	0.609620521926	0.602536639432	0.482202060863	0.377771214724	0.412281725154	0.45041954866	0.447306236806	0.420782303219	0.652665019521	0.552697427138	0.68700897569	0.703160764587	0.657753981057	0.669232841257	0.714777553229	0.484021738944	0.575850594298	0.681568047862	0.65389569587
Elizabeth.Chris.WT.Cec.732516	0.473090006897	0.267772562081	0.200788801577	0.270699803942	0.364256508135	0.362351922647	0.328212988175	0.251988943024	0.286487832852	0.409956581264	0.42137294002	0.287884980019	0.428836921003	0.0	0.325812641379	0.366385306794	0.414780064646	0.517615111189	0.188737973047	0.396228246132	0.329903768326	0.471213637504	0.251957511913	0.336768553798	0.331802352649	0.292291349894	0.312280682759	0.413492939664	0.407177117655	0.295159940394	0.435041710967	0.676921181838	0.281227652775	0.43808743791	0.620292304427	0.421277191449	0.442186089655	0.330358668966	0.263393144828	0.48689967251	0.627365885759	0.253398688176	0.516847597079	0.28107135939	0.404366938344	0.278979886694	0.511483700352	0.699077937777	0.304420590624	0.421343635701	0.41075373509	0.630691972424	0.59811203597	0.492714652022	0.390108483677	0.653960533621	0.506795892192	0.304656413793	0.480314477897	0.515266838988	0.492784051198	0.639484479622	0.506118720895	0.367054815143	0.613574872022	0.546580029541	0.328838584184	0.76467174713	0.645135965821	0.789371522279	0.804217618643	0.849847013004	0.772890944828	0.823512053254	0.617772219753	0.553354571142	0.797415893259	0.759247405418
Elizabeth.Chris.WT.Fec.732549	0.361160082759	0.44034847041	0.438346215422	0.360086392904	0.150224056627	0.329426760492	0.337821389862	0.41203674778	0.216435260306	0.312868246536	0.373732701884	0.195397824806	0.343348204085	0.325812641379	0.0	0.340317796868	0.415585621907	0.410095429134	0.274422449585	0.345501552508	0.334053823266	0.349873208872	0.185064050686	0.353154406512	0.346074815024	0.337170833936	0.362352675862	0.394384311482	0.3325907342	0.286119585714	0.39651950457	0.589206202282	0.37630686993	0.321421170636	0.536031611073	0.488278183379	0.374673268966	0.386801365517	0.391310655172	0.360178504406	0.545862820709	0.16791789402	0.39865067773	0.329701297055	0.338241680955	0.383745299717	0.383487798733	0.608375203023	0.433585511	0.413260709151	0.382513243873	0.551919335869	0.550305398241	0.47004021732	0.415945356057	0.60629462163	0.592792972528	0.403930986207	0.523455924811	0.596980566656	0.591789798453	0.563657574265	0.430896503907	0.345691559923	0.56485759553	0.467328588525	0.339897231378	0.732803936559	0.6218391646	0.771089506537	0.786458238921	0.741553602047	0.756548954512	0.800592901092	0.57338226669	0.615600690642	0.771748181866	0.74182794471
Uri.Jake.TGCol.732482	0.496984881333	0.462812274294	0.441646582566	0.439755525395	0.2994682357	0.162948030384	0.144022439697	0.284855902861	0.300209324604	0.184261853894	0.182451213138	0.275479979325	0.477638100759	0.366385306794	0.340317796868	0.0	0.491209258276	0.535397273835	0.347705190533	0.23586371468	0.170901984838	0.212072941972	0.324370744314	0.164363057824	0.187361625325	0.187302033081	0.214469942042	0.380534230063	0.136626078567	0.411792454918	0.223463873191	0.607521074778	0.239784151941	0.454971330915	0.465874206988	0.371744458994	0.31560120846	0.260621732874	0.268653154576	0.288147454715	0.554094885779	0.328015913656	0.404192207075	0.401481678405	0.234539070077	0.2536721847	0.378709694365	0.635290040414	0.297845119586	0.347664632477	0.205956209782	0.4804809013	0.607275397798	0.439788145302	0.275923573531	0.56659963868	0.536583172482	0.269963860058	0.48693053758	0.528623300756	0.531971319582	0.559772738507	0.454839370686	0.233109883114	0.556625965014	0.452683766881	0.256792902224	0.714630488608	0.626894748449	0.77787940902	0.795316836253	0.816514960018	0.763127115468	0.807435400944	0.575226827147	0.597150228176	0.779162107671	0.747372315322
Joshua.Jose.WTCon1.732471	0.294975410906	0.327304079654	0.376305165032	0.29609470807	0.426421366412	0.456022112752	0.453507724423	0.444497276628	0.340121315103	0.479642846761	0.538604872221	0.383609017988	0.245448019722	0.414780064646	0.415585621907	0.491209258276	0.0	0.286745571183	0.371364209002	0.440950565299	0.439820065036	0.513206034783	0.350423842967	0.494384929688	0.473487421896	0.437571575794	0.41848991686	0.394748419415	0.514949306256	0.24605091824	0.568391005816	0.516953259233	0.429306599311	0.384997918586	0.503647695502	0.443547374353	0.438712082234	0.442870328409	0.434981689226	0.508017556805	0.494272359649	0.377744750219	0.477537250072	0.262083714819	0.452080543231	0.456574935983	0.486671570287	0.552953044278	0.391539550073	0.407902720775	0.552161881422	0.503734619119	0.501527249176	0.367135407982	0.460431503299	0.556797972495	0.569083347428	0.461541655339	0.442912297278	0.591641301945	0.570213542422	0.488500534192	0.381945224855	0.430111379316	0.447583147888	0.464471045525	0.427954717602	0.66530511462	0.564308376831	0.689837286795	0.69973871025	0.707549911981	0.659673299591	0.714841363016	0.493666989883	0.514902190092	0.681556319516	0.649711920692
Joey.Aaron.Kyle.WT.Con1.732511	0.280617204504	0.443555459013	0.495389416816	0.39484120885	0.453444774309	0.504744678431	0.528996045388	0.551358116915	0.457727337147	0.509163115243	0.564540269637	0.420850459971	0.196168634958	0.517615111189	0.410095429134	0.535397273835	0.286745571183	0.0	0.482990422918	0.451476680573	0.508717299501	0.51593273021	0.40212074266	0.55153128923	0.536830435957	0.528582844848	0.493535572414	0.443710055686	0.547736657473	0.301506510134	0.603983263647	0.429884755297	0.542779623227	0.295803731977	0.447135270274	0.495768490982	0.447864296411	0.517543042365	0.546519667699	0.503523144685	0.412646161305	0.425461310402	0.412550122864	0.396519779164	0.440518816533	0.565215712351	0.441459049965	0.423944891565	0.469561421374	0.413532379974	0.598585245235	0.420382870721	0.489866389268	0.343612761408	0.488263011793	0.499865646022	0.618652126505	0.540188205067	0.492627820178	0.626260240054	0.623047011698	0.384098700406	0.365968108814	0.437419374325	0.354844302879	0.401106141239	0.470802938847	0.635909396975	0.505909388463	0.683814512824	0.681008545056	0.60102971494	0.658636811589	0.707643386232	0.471856865853	0.602488034409	0.666986862293	0.650808458797
Joshua.Jose.WTCol.732534	0.476211041241	0.346336032226	0.28414154618	0.336692269348	0.303611022112	0.341609735768	0.311596966424	0.289209011925	0.160124728963	0.380733035669	0.400563669493	0.200294170756	0.378360761397	0.188737973047	0.274422449585	0.347705190533	0.371364209002	0.482990422918	0.0	0.388737083138	0.325897456774	0.441913171095	0.171272993252	0.317601229284	0.31754058674	0.28875950711	0.337143514957	0.428049714698	0.385241992358	0.300250770462	0.407251305085	0.69020028215	0.299635855184	0.446718042696	0.623859016102	0.423086080821	0.443821077785	0.327010618377	0.290308921611	0.457009306763	0.642643569036	0.236548616452	0.511000708894	0.19472290789	0.396659416267	0.29083938174	0.501439658062	0.706919820038	0.352938967955	0.436422889338	0.386969965493	0.633042361747	0.552697606375	0.524246045549	0.394359278947	0.654717379727	0.52161924004	0.293418398367	0.478045022089	0.525159201089	0.505110034507	0.656421455767	0.512501872839	0.368479803998	0.637480184538	0.559362104828	0.322257169527	0.76485092921	0.652483939869	0.775879431665	0.80170977353	0.859143693012	0.759761814304	0.81355126294	0.614822395058	0.543789288142	0.786752958651	0.745979523502
Chen.Lladser.WT.Cec.732509	0.432526647924	0.465765665059	0.453754670196	0.422537710171	0.365681392143	0.19179562301	0.200535444521	0.336072333379	0.349802439697	0.255789483115	0.265789240939	0.322277077877	0.428934394917	0.396228246132	0.345501552508	0.23586371468	0.440950565299	0.451476680573	0.388737083138	0.0	0.19625505858	0.189639996715	0.328361254307	0.27887453265	0.26301117406	0.224216898691	0.159207596711	0.322408411759	0.244510868367	0.371733659545	0.324334052378	0.505688568607	0.238681130174	0.381703124884	0.404841538474	0.329772115782	0.234745337389	0.214805591502	0.319621722165	0.173383189084	0.47796066966	0.324136941175	0.294675989476	0.402603469627	0.132204193482	0.316128676775	0.297094142146	0.55044237403	0.296777445321	0.246337916139	0.325924293377	0.422824379782	0.596856223113	0.33719324247	0.216609626557	0.540057010878	0.528465982839	0.306199188949	0.472327593267	0.530746349473	0.526512283373	0.454867013242	0.317653200114	0.212859945854	0.440549882553	0.330375803702	0.267774014384	0.701707270205	0.570562405238	0.755063896629	0.772025772852	0.784046498881	0.739798705883	0.786459545379	0.533674484649	0.598820849028	0.745766882626	0.723269278058
