pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
Ryan.WT.Con7.732519	-0.0493213522924	0.172532302067	-0.185135277873	0.102533737078	-0.0380005530879	0.0354053957347	-0.0062221787004	0.0365061256619	-0.0293912137549	-0.0320975499556	0.016628185565	-0.0105043296098	0.087216293865	-0.0739379325377	0.00461258336333	-0.00186848430746	0.0249015880835	0.0383276288775	-0.0267141758259	-0.0128234162373	0.0117444981732	0.00984218453679	-0.032194826084	0.00210215604911	0.0251837307913	-0.0281788954745	-0.0138728610172	0.00106495253421	0.0541286177604	0.000343788291685	-0.0254807746433	0.0309475682568	-0.0258875843771	-0.0158442431018	0.0032500826996	0.0224750306109	-0.00627872471488	0.028737144142	-0.00243752795046	-0.00226474501976	0.00764834176885	-0.0164135566527	0.00368130531374	0.0162786849441	-0.0161076729993	0.00704314994792	-0.00564598346598	0.00228258528653	-0.0267188182547	-0.00564650998236	-0.0143050302694	-0.0132640408026	-0.0176504692359	0.00198031868619	0.0140193250417	0.0130887761957	0.00296284247497	0.0105411549447	0.00615717188334	0.0103478180958	0.000426284539035	0.00110671756757	0.00581512148976	0.00706397206252	0.0108627505136	0.000175199125071	-0.00506981201653	-0.000361517022315	0.00198904527286	-0.000387971654845	-0.0025637019623	-0.00191869043032	-0.00103963368199	-0.00129459669596	-0.000178462096079	-0.000507469239585	-0.000150648988051	-7.14434208727e-09
Ryan.WT.Abd.732465	0.06833657649	-0.0916243504054	-0.239356395416	0.0593335997923	0.11217991385	0.0167177895704	-0.0655273346404	-0.0633193612569	0.102602965158	0.0755091395598	0.0113528474766	0.0257956921686	0.0572868065023	-0.00436322353285	0.0630923153163	0.00578141671992	0.0153771482421	-0.0311212014853	-0.0392847956553	0.00460738165666	-0.00991040040501	0.0127634489694	-0.00943714241619	0.0340762945237	0.00432421593396	-0.0207996322894	0.0205076720462	-0.0201517845611	-0.0178986774772	0.00380642182718	-0.00458362787264	-0.00378127068513	0.0348344025025	0.000694305427103	-0.000315549557457	0.00935208087892	0.00636147072216	-0.00174979368462	-0.00354046301745	-0.00723517800838	0.0106200989794	-0.00172391812459	-0.0160925817892	-0.00317111671416	0.025837165218	0.00516157824806	0.0082116073413	0.0162478076761	0.00323218635817	-0.0271875219816	-0.0149038609297	0.00447096448362	0.00687368176281	0.0133238695474	0.00464479591256	0.00953798392266	0.00709194763606	-0.0206079583245	-0.000330183869265	-0.00341165919221	-0.000498834159663	0.00279807841647	0.00158696719553	0.00499166600135	0.00355580580555	-0.00344919971813	0.00292130150933	0.0105905151461	-0.000626580651799	-0.00373252645758	-0.00424956801437	0.0028446739772	0.00157007844017	0.00162048805338	0.00257459035645	-0.00137130288965	-0.0034095644213	-7.1443420873e-09
Ryan.WT.Col.732487	0.0879059616317	-0.13791868372	-0.204445206365	0.0376796558173	0.117901369825	0.0220293564512	-0.0822983821169	-0.0656516453139	0.0591193841349	0.0801974626602	0.0344467431011	0.0208405793947	0.0425252620905	0.00459073716185	0.0105254057081	0.0142590269483	0.024412753359	-0.0137738570723	0.0602444530803	-0.0133355574475	0.00483683094689	0.0246756534063	-0.016066139615	-0.0139951625412	-0.00706368720665	0.00181747322804	0.00976434352527	0.00944118716725	-0.00491283928311	0.0154366017316	-0.000903481910711	-0.00552358870977	-0.0191360059179	-0.013255699156	-0.00641314251573	-0.0430155050336	0.0137730984069	0.0271265223041	0.0285145026308	0.000377501529156	-0.00112026790008	0.015148567968	0.0100293426968	0.00116802088167	-0.0194524697885	-0.00153676263231	0.002102823417	-0.0200704464441	-0.00248435651103	0.0242342722643	-0.00292384576476	0.00699573380302	0.00956598591524	-0.00320924808886	-2.53253081041e-05	0.00471163833824	-0.00202297822475	-0.00193457185408	-0.0151352537666	0.011351762382	-0.00853301885913	0.00572789120413	0.00210932361418	0.0201173768569	-0.0124313855599	-0.00136538510581	0.00168438798142	-0.00917233175153	-0.00216594794906	-0.00443474510796	-0.00151740948291	-0.00309137314804	-0.00108289518689	0.00284430485561	-0.000870118698852	-0.000520508301965	0.000721916666088	-7.14434208726e-09
Ryan.WT.Cec.732545	0.0557135324804	-0.0310879663567	-0.220517664149	0.0845867152567	0.0757837477665	-0.0199227599405	-0.0591456904042	-0.0344134049329	0.0731151813315	0.0719747233882	0.0182172896232	0.00267408549242	0.0918719642894	0.0039281324247	0.038904828277	-0.0163156696227	0.00815605464726	-0.0225074546893	-0.0142343616132	0.00562700309178	0.000231590368184	8.57327818516e-05	-0.0224125110679	0.00711907862709	0.0104698595261	-0.0102185067982	0.00537167622843	0.0134054232507	0.0191599755299	-0.0306383400904	-0.00985973687618	-0.00170622854408	0.019171313851	0.00854358544893	0.0081926007008	-0.0051225070072	0.00298504664376	-0.0338270911964	-0.0286905013094	0.0166967210782	-0.00599457074194	-0.00233780339873	0.0109596397414	0.0179036365413	-0.000507825964821	0.00302879352149	-0.0111565293396	0.000118521348155	0.013716202518	0.026760032806	0.0239292323692	-0.00802916748253	0.00907265828855	-0.00908856076231	-0.00193373992691	0.000628720355081	0.00449491589695	0.0156151443036	0.0111418589419	-0.0030501582269	0.00725743008485	-0.00874859843889	-0.00427317064776	-0.0229344327157	-0.00211465207673	-0.000441522607184	-0.000785249684155	-0.000364645597846	0.000791018576682	0.00175194778254	0.000962010242586	-0.00420093194179	-0.00145320974393	-0.0013269568759	-0.00418984671216	0.00165576206798	0.00182708528545	-7.14434208725e-09
Ryan.WT.Fec.732502	0.118217589568	-0.0212768095661	-0.014466546862	0.17081365026	-0.186278909624	-0.00845709879304	0.0307943670352	-0.00928710387018	0.0127683968964	0.00280027456067	0.0190301177993	0.0107548593394	0.0833781208596	-0.0125902919842	-0.00818542520231	0.0147221872083	-0.00668300693911	0.0274793296999	-0.00156894388482	-0.000909773613959	0.00460170015858	-0.0435449941616	0.0117975613575	-0.0376984518179	0.0490759393059	-0.00722275244518	0.0160991287175	-0.0054575633336	-0.0447589125951	-0.0178807275781	-0.0095422428424	-0.0355677926023	-0.0104044997402	0.027819543169	-0.0191884125166	-0.0090784671897	0.00193300274339	0.00625348757301	0.0336081049633	0.00537192972076	0.00197605114452	-0.0207196305936	0.0164220239891	-0.00673538470637	-0.00630650198733	-0.00523019261286	0.00478532794492	0.000150996262513	-0.00369653595963	-0.000794431370838	-0.00641901493458	0.010940247032	-0.0209089830914	-0.000824530215735	0.00265643526814	-0.00576777012562	0.00591122414973	-0.00602212685375	-0.00340673665545	-0.00293744297887	0.0146367320222	-0.00905047286589	-0.00560163596771	-0.00699209312136	-0.00697374532207	0.00872181038987	0.00080644993887	0.00510840311259	-0.0110423746591	-0.000575815278123	0.00556468436012	-0.00184833913443	0.00234991011717	0.000763783645274	0.000520468773656	0.00266808515059	-0.00142274281734	-7.14434208728e-09
TH.CVA.WT.Cec.732496	0.164981762095	-0.0279724527725	0.115043165387	0.00885394837866	0.0145024303444	-0.00660142061609	-0.0103814400879	0.0413400010812	0.0296782328951	-0.0327248706478	0.0376917767815	-0.029779408332	-0.0113231156226	-0.0253864339791	0.00762409457634	0.0395199432418	0.0233395922333	-0.0220531760832	-0.0192906404383	-0.0254406015929	0.00318341904018	-0.0164460337149	-0.0194802235241	-0.00186491251376	-0.0321824346524	-0.0203918649171	0.00198479704286	0.0160704382203	0.0148857803452	-0.0295291420225	0.0272040945289	-0.00860305626556	0.0115057062328	0.00463183566019	-0.00199828666715	-0.0149355819853	0.0190786626193	-0.0102423216519	0.00344194645934	-0.0177528829509	-0.022210256211	0.00811916064821	0.0124758067392	-0.0140103060887	-0.00876275736857	0.0151835656604	-0.00170789945912	0.00534272921081	-0.00337037327714	-0.0201770617311	-0.00539511472021	0.00540176558908	-0.0138428962611	-0.00511387943227	-0.00271300433054	-0.00870518263282	-0.00542049796217	-0.00209417435024	0.0197056130277	0.00637730941436	-0.014758608723	0.00210186740507	0.0215303833883	-0.00374172653946	-0.0167097993722	0.00492159821185	-0.00328867475688	-0.000327961058274	-0.0011423156309	-0.011519529376	0.00279575085372	0.00114350730241	-0.00148222906171	-0.00593827984056	-0.00896838800527	-0.00105500315539	-0.00117280335769	-7.14434208728e-09
Uri.Jake.TGCec.732550	0.162164833125	-0.0798348317542	0.10829364811	0.0273082694582	0.0320655076925	0.0225517556963	-0.0172061022127	0.0351543092197	0.00323778602308	-0.00702271369967	-0.0352259964512	0.0133144234266	-0.00182796733793	0.0106465672996	0.00726177859582	0.0194579503151	-0.0264813332379	0.0692568353306	-0.0139411844059	-0.0102542802277	0.0273264444257	0.000398561808379	-0.0141794990284	-0.0232658087503	0.0145708672025	0.00989623209456	-0.00310515824614	0.0448376082467	0.0104865111552	-0.00942512738239	0.00899366412684	0.0133963915166	0.0197200642765	0.000249574352508	0.00200391028575	-0.0136878693369	0.0166611424046	0.00938520604292	-0.020035109004	-0.011210175693	0.00126162448586	0.00343140093925	-0.00235847264431	0.00990777164416	0.0057412486916	0.0101191578464	-0.00440123412701	-0.00241955006466	-0.00877299819755	-0.0149294596219	0.0119885793237	0.00925450045334	0.0034665770251	0.00791516223727	-0.00680839282476	-0.0055095130022	0.0110902093388	-0.00177364194764	0.00154501471993	0.011893161164	0.00862632892638	-0.00194358333015	-0.0282347490376	0.00872143558773	-0.00813687474512	0.00286608821219	0.00728568931618	0.0127217082069	-0.00101197610173	-0.0107597023003	0.000153697172081	0.00178673010323	-0.00376611933991	0.00124379657386	0.00227161375951	-0.00388952812048	0.00376209307149	-7.14434208722e-09
Jordan.Lisette.TG.Cec.732483	0.16778749058	-0.138810957321	0.0141893018539	-0.0357109439726	0.0817993304062	0.0465440469644	-0.103764086594	0.0109050582078	-0.0247227690624	-0.000584324004107	0.0170869504817	0.0107400514299	-0.0262343246776	-0.040837834361	-0.0737144962656	-0.0129897051204	0.0083664665843	-0.0133127197767	-5.82151749598e-05	0.0077151842917	0.0112338670375	-0.0374709209073	0.0480078317892	-0.0104649942268	-0.0201456143008	-0.0173064298238	0.00230763611191	0.00246057833458	-0.012701779839	0.0159175886688	-0.0104841575856	0.0160776918863	0.00655806693963	0.00591584172741	0.00761482912482	-0.00818439643681	-0.0202771620533	-0.0176062809115	-0.00262893383103	0.0147081513263	-0.00845642276323	0.0220251558749	0.00151853037793	0.00377808154953	-0.0167147266954	0.0180743948977	-0.00351917320641	0.00135451695397	0.00311737390451	-0.00444714509005	0.00133232830768	-0.0032338703502	-0.0164312212546	0.01659869191	0.00910475970847	0.0178941866216	0.00491213329045	0.0121768296012	-0.0165262760088	0.0162146475634	-0.00365822235325	-0.0133606307154	-0.00283305903011	-0.00832699815635	-0.00849835900867	0.00318906220135	0.0051511016312	0.00604009739851	-0.00481465660208	0.0155975019827	-0.00469578043145	0.00660281529912	0.00133650576009	0.00099174513115	-0.0023716809521	-0.00282915451857	-0.00155432974589	-7.14434208728e-09
Joshua.Jose.WTFec.732466	0.143663971245	-0.139267679408	-0.0692919445873	0.143547411025	-0.0929283002862	-0.0477710015021	0.0195172454167	-0.0275698244343	0.0109632661077	-0.0592799592631	-0.0351093370441	0.0256665398213	-0.0637099135502	-0.00261790298183	-0.0194452206724	-0.0077438727278	-0.0357877175692	0.0203988513833	0.00359287295009	0.0378368559696	-0.0458082436198	-0.0119271296683	-0.048398918853	0.0079338113169	0.00766753433928	-0.0213247763143	-0.00799957766277	-0.0196558024897	0.017091159785	0.0128412553239	-0.0134036705272	0.00403131241009	0.0262312578423	0.0154687856931	0.0168242726578	-0.0263630725423	0.00790540942901	-0.00196307650254	-0.0163274558586	0.0305539470128	-0.00424927350246	-0.00695616235743	-0.0159241273365	0.00198322219107	-0.00447933569451	-0.00619632400181	0.00207625798207	-0.0145532905974	-0.0143584832194	0.00797810287108	-0.0143741068195	0.000795141511255	0.00708240648458	0.0117756416492	-0.00827151071414	-0.0116063948711	0.00126430513035	0.000204678754449	-0.0018440613323	-0.00288236391472	-0.0208830393344	-0.00150342614249	0.00667414262096	0.00095954811184	0.00923151553587	0.000217759469631	0.00972542079991	0.00152352027107	-0.0173928553303	-0.00197467006589	-0.00558172745722	0.00068038611504	0.00333789963145	-0.00278873679246	-0.00195453102566	0.00188115386082	0.00120355864355	-7.14434208725e-09
TH.CVA.WT.Col.732504	0.128777019156	0.0122236812523	0.146547388876	0.0563373745974	-0.0466326395497	-0.0161402786549	0.0330816206789	0.0439215396615	0.0956262603382	-0.0116343002289	0.0595641147697	-0.0024686941055	0.00110798717206	-0.0481954426755	-0.0608200168587	-2.65784216389e-05	0.0431017559818	-0.0209924817199	0.00645917473662	-0.0458027680512	-0.0126142791086	-0.0189511057789	-0.0302359907189	-0.00876820288945	-0.0326007319161	-0.00183402086571	-0.0232862497514	0.0209546385365	0.00812019830748	0.0023539486949	-0.0018702769705	-0.0151844342196	-0.0062013988196	-0.0146085446716	-0.0071432944977	0.000677685961379	-0.0245937315076	0.00540928796555	-0.0118853296214	0.0175124260534	-2.66154318865e-05	-0.0253037481606	-0.00735972108381	0.00562052118735	0.0203390877057	0.000189450575309	0.0328118654263	0.00625658578809	0.022237677599	0.0195053961533	-0.0182581632806	0.0160454086609	0.0159156709883	-0.00354296818724	0.00649972304189	-0.0108820680093	-0.00917697822162	0.00860865489466	0.0111068759545	0.0159471828305	0.00249176838332	-0.000737563907316	-0.0100732824082	0.00510243546195	0.000752715632567	-2.80907087671e-06	-0.000724372886654	0.00390882372212	0.00182882460701	0.0033721829785	9.91192874124e-05	0.00512634691152	0.000209233552189	-0.000807820612025	0.00434942837613	0.000199432492218	-0.00112693247869	-7.14434208727e-09
