pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
Elizabeth.Chris.WT.Ile.732542	-0.111101186854	0.0942915295778	-0.162223459168	0.0227279064476	-0.0537711078489	0.0261526817713	-0.0461180184985	0.028619857656	-0.0136766779241	-0.0459852186556	0.0430496393573	-0.0558642784845	0.0853487350116	-0.0764730849044	0.0162413439907	0.0253078820435	-0.0188315766209	-9.32236432966e-05	0.00314627782746	-0.0626837645958	0.0616831498483	0.00475868554488	-0.0290180818291	-0.0266807132959	0.0109798453106	0.000981683866146	-0.0113221827256	-0.0108532922621	0.0293297248986	0.0320438270866	0.0223182576166	-0.00564794530157	-0.00212537715307	0.0387661801173	-0.0251004019424	0.000463641845244	0.00395220960309	0.0225032437344	0.00256820957435	0.0188808248019	-0.0308193909273	0.00474637282537	-0.000793160059915	-0.00908925562391	0.021225353461	0.00411690972328	-0.00677408011639	0.00527723830373	-0.0191758779269	0.00313793594839	0.0159670880213	-0.0074476905934	0.00626410087388	0.0105470067269	0.0221696912003	-0.0135314811889	-0.0164282968206	-0.0105027086835	-0.00511787422139	0.0125685097927	-0.000984413490115	0.00093395793221	-0.00536022527194	0.00899403590723	-0.00409968497386	0.00381486956589	-0.000341573356778	-0.00543037794344	0.00402038857313	0.0100621009644	-0.00144404429929	0.00926267448635	0.00251393557357	-0.0037041473051	0.0001287580238	-0.00156279310561	-0.0012069231277	-4.4341010864e-09
Uri.Jake.TGIle.732486	0.0459758287081	-0.342656092076	-0.00151545321302	-0.135781227881	0.15718451789	-0.0361245329185	-0.102974008784	0.105335439195	0.121365552715	-0.0846943254016	0.0792125382604	0.0737859285483	0.0308788755635	0.0493392569785	0.0253016566427	0.000319368546286	-0.00170078120144	0.0516734627699	0.00848006218324	-0.00602626056214	-0.00603839912514	0.0307026147517	-0.0192953749605	-0.00256679623678	0.012038462526	-0.0200439156828	-0.0397093369833	0.0120255697322	-0.00482157817356	-0.0212268352101	0.00998529843838	0.0392745729897	0.00856354317721	-0.00468571230758	-0.00206891155392	0.00248346396694	-0.0128020629111	0.0264450451224	-0.00484944767002	-0.0202789296993	-0.0187099090199	0.0337728070614	0.00703878531904	0.0361495105356	0.00490760420792	-0.00233940001743	-0.00543937693246	-0.0306354626179	0.00972477394886	0.00159330010274	-0.00993670340692	0.00237315150571	-0.015837518744	0.00234006486043	-0.00590854066954	-0.00260946165281	0.0126209948571	-0.00848432156633	-0.0102116403662	-0.0069951406024	-0.00759266476623	0.00394846683609	-0.000740389278341	0.00377672141335	0.00157875311621	0.000763208221043	-0.00630954936533	-0.00461673978638	0.00194444158971	0.00565117204955	0.00350328362997	-0.00203730728004	-5.24822993956e-05	-0.000190671950488	0.000965064220331	-0.00181582464043	-0.00035182334868	-4.43410108636e-09
Joey.Aaron.Kyle.WT.Ile.732540	0.0370322023746	0.0346660312386	-0.188380943441	-0.0142688232718	0.0217882513291	-0.0619341697911	-0.0441958759394	-0.0573941096239	0.0220263373441	0.0154550876294	-0.0162051529277	-0.00385214126475	0.0360148664063	-0.0112837733924	-0.00725857628203	0.0110691506167	-0.00531982662747	-0.0169299019682	0.0189810346487	-0.0498527349222	-0.0113537991218	0.024446365454	-0.00557879252487	-0.00836828401884	-0.052005695133	-0.014538456235	-0.025084165619	0.0031265798342	-0.050981470489	0.0070899680728	-0.0314564110356	0.0171691993967	-0.0113166807158	-0.00711282596386	0.0147324590949	0.0403358596567	-0.0261928084983	-0.0113183920488	0.0103598713577	0.0202133934117	-0.000149342290774	0.0192295792559	-0.0324973138269	-0.00373602769905	0.0155097250838	0.00246246973698	0.0051138731321	0.0209486056509	0.012214597792	-0.0148357246284	-0.000456742691491	-0.00189996453104	-0.0144925538098	-0.00198592688444	2.80406328256e-05	-0.0261153156243	0.0180147592354	0.00668478413266	0.0124378600691	0.0199727436233	-0.0071105960486	0.00497849049405	0.00298227380575	-0.00165360381512	-0.00157917802932	-0.0034248520483	0.00830261174791	0.0017855171671	-0.00901694548821	0.00727109487698	0.000872845985327	-0.00276809439645	-0.00417319485272	0.00274424651709	-0.00259929024979	0.00630298257211	0.000324741126072	-4.43410108631e-09
Wang.TG.Fec.732515	-0.417803771805	0.0458734101744	0.174015990792	0.154194348895	0.0209199769414	0.0833070268807	-0.0236646086842	-0.0840053340141	0.0116282562315	-0.0240428182063	-0.0195235228671	0.0268595931951	0.0205135642521	0.0449655162195	-0.0097667540124	0.00321567591464	0.0147263740177	0.00388156176255	-0.02600691681	-0.0307657236099	0.00540355784897	-0.00962386434628	0.0134118275873	0.0107207453289	0.0257317388914	0.0157466017556	-0.00867233656017	0.0121101527961	0.00515272683733	-0.00707640643253	0.00729115362577	0.0198102994571	-0.0145063954686	-0.00346409609595	0.0240641810805	0.0170004038612	-0.032262760749	-0.0174648158215	0.0343237425177	-0.000218438772663	-0.0229068095691	-0.0190441187947	-0.0179502479755	-0.000708299784098	0.00327634328634	0.00248228909173	0.0127127749638	0.00683295068856	0.00588176528007	-0.00793505565402	0.000825434324373	0.0050998097029	-0.0081183393557	0.00911570150594	0.0185715659591	0.0138833370212	-0.00744144852579	-0.00441424016483	-0.000195681256121	-0.0068475560285	0.00781912812491	-0.000845548408151	0.0117925809872	0.0129671130701	0.00143056646366	-0.00339083447682	-0.0209655302472	-0.00826790829547	0.00694327926991	-0.00412363483143	0.00602994984719	-0.00363492183729	0.00378149283939	-0.00273384503431	0.00655027685393	0.00809363819099	-0.000444686325919	-4.43410108636e-09
Ryan.WT.Abd.732465	0.214134257348	0.123338693385	-0.245815112852	0.0449502473353	0.12602899619	0.0539554090501	0.0485424943956	-0.00359745659169	-0.118882424608	0.0926757547424	0.0257657591448	0.10194595943	-0.0724588151035	-0.0325449247619	0.0155019132098	0.0100345775064	0.00311403719293	0.0622382460646	-0.0274410278685	-0.0227152126946	0.0142078621916	-0.024301746514	0.0432895862542	0.00292232790945	0.0278861890575	-0.00962642193213	-0.0042151356915	0.0248550400482	0.0128946961103	-0.0235842327234	0.019356021959	-0.0157468375033	-0.00126640304922	0.0344677801955	-0.0126850780263	-0.013188751772	-0.011958018011	0.0351959143687	0.00561056470128	0.00427883215889	0.000457401825602	0.00539184050482	0.000627481860801	-0.0021382799192	0.0101503507176	-0.0187233633887	-0.0137050783484	-0.0047638357632	0.00338114905897	0.00112009625385	0.00177419082908	-0.0084160690844	-0.0271973489401	0.0177469297791	0.0133150178583	-0.00161276829999	0.00559440016423	0.0215945532898	0.0133040943348	-0.00982416934386	0.0141520737171	0.00943956384806	0.00748377619813	-0.00389008105277	0.00800904959617	-0.00675477691429	0.00560291525877	0.00203917251337	-0.00158733739798	-0.000806279974029	-0.000724069164965	-0.00254313583116	0.000779330006646	0.000999407015946	-0.00194267188745	0.0001440423113	4.38508521482e-05	-4.43410108633e-09
TH.CVA.WT.Col.732504	-0.302609268548	-0.0718519577405	0.0827583043348	0.0324747726929	0.0532989589499	-0.0591245036118	-0.0709227001367	0.108174889879	0.0427500399978	0.0899907216434	0.0693083303474	0.0150945315874	-0.0199501273184	-0.0139143253194	-0.0550881431196	0.0157060317277	-0.0102627976455	-0.05918319833	0.0189337983489	0.0385119120877	-0.0275725557002	-0.053472537608	0.0185930948959	0.00996992133146	0.0428515425623	0.00218119664951	-0.0299046393712	0.00813921734655	0.00542820249169	0.0454946536978	0.0560046377705	-0.0149565931735	-0.0343414186967	0.0184395141898	0.0138938049754	0.0427695189831	-0.0137038989563	-0.0382666011542	-0.0236183618283	-0.00877414595593	-0.00797277349164	-0.0249364767889	0.0028885673275	0.01410131466	0.0289998677029	-0.0127045071385	0.0105613174303	0.00650911714549	0.0010610953241	0.00760340597701	-0.00575585349847	-0.00585717003423	0.00163958891609	0.00787687165116	-0.00518766711115	-0.0057330982022	0.00689638995107	-0.00133412826117	0.00266230442424	-0.0087032751511	0.00336780006911	-0.000826363429448	-0.00016206016387	0.0050941858895	-0.00465042392637	0.0076108295513	0.00632697255825	0.00150244765156	-0.003483882323	-0.00158560155881	0.000908796837186	0.0035198406865	-0.000238278227191	0.000887309314023	-0.00318786217811	-0.00197445412909	0.000749726603986	-4.43410108629e-09
Gail.TG.Col.732544	-0.397973248821	-0.00525297518548	0.176453590309	0.130929333668	0.0197161048059	0.0461330386972	-0.0374005639176	-0.0916136881294	-0.0132110867509	-0.02326331585	-0.0148167672253	0.0321829266694	0.00410083800064	0.0368061464874	0.00542742052735	0.0197894082049	0.00895125591053	-0.00656629898898	0.00512452188777	-0.0494485446355	0.0119800953975	-0.00920759734781	-0.000111110493093	-0.0109953835135	-0.00401222685533	0.0202824785936	-0.00187569772338	-0.00656636931392	0.0278175345706	-0.0105243867436	-0.00399667962022	-0.00742758406464	-0.0044883000504	0.00489990246478	-0.00840341271156	0.00864242974237	-0.00174676172385	0.00784826805961	-0.00559938140107	0.00418730421093	0.0103069578766	0.0160321518476	0.0028392407053	-0.000576092718467	-0.0080395681121	-0.000676877590046	0.00815569324125	-0.0119165326343	0.0203500491657	0.0041531162445	0.00978509622624	-0.0283313513727	-0.00671853735919	-0.0141625084513	-0.00818135631043	0.00616393925508	0.0019093640789	0.00437199056155	-0.0031560137864	-0.00358282789724	-0.0125041388604	-0.0259112025561	0.0180446892136	-0.00303199820628	-0.00275709807458	0.00460722494991	0.0109063971894	-0.00929862817526	-0.00617651947967	-0.00194268757869	-0.00219847696848	0.00804286468322	0.00503893593462	0.0128619489076	-0.00313138876099	-0.00226892904375	-0.00145002327026	-4.43410108642e-09
TH.CVA.WT.Ile.732517	-0.154160180903	0.0315497375623	-0.0711869376788	-0.176230103695	0.180965255223	0.122113853909	0.0803038507102	0.0104353224936	0.0266347117375	0.0180670008498	0.0131901031881	-0.131218880146	0.0785095241027	-0.052209570651	0.0516238667747	0.00432056845765	0.0259357460173	0.00180361136186	-0.0984354307551	-0.0495175688399	-0.0915705453862	-0.0113606678447	0.0383045397163	-0.00533096991902	-0.0320356715578	0.00524436044478	0.01155323766	-0.0144797045037	0.019706587058	-0.00147405505696	-0.0158456704182	0.0172916158948	-0.0190151358835	0.00179239377804	0.00488156411046	0.011573302172	0.0106197590301	0.0101433934422	0.00895513361574	-0.0221302662993	-0.00563078412878	-0.0215118518674	0.0242660700112	-0.00867559944931	0.000414049178434	0.000293156426289	0.0124964370204	-0.00697718013246	0.000304302207705	-0.00508791928472	0.000974526134707	0.0131342208591	-0.00627383450127	0.0113804398904	-0.00496526590548	0.00303444519937	0.0126015100144	0.00340832244317	0.00144328241645	-0.00203838519906	0.00584999514753	-0.015583524119	-0.00950106329194	-0.00438785870397	0.00436050672715	0.00681120867671	-0.00207841816118	0.00108024994272	-0.00122643905805	-0.00213517390411	0.00121151062807	0.00257236044829	-0.00141218960167	5.00399598019e-06	-0.0029469219165	0.00117889804816	-0.00061806812741	-4.43410108637e-09
Chen.Lladser.WT.Ile.732478	0.0672491837525	-0.357168432991	0.0160834819815	-0.140202404303	0.135158174789	-0.0390103942225	-0.146819419547	0.0452665153426	0.0935134649328	-0.0928645131513	0.0744726428194	0.0547830810508	-0.00252295124977	0.0483703154205	-0.00224609776195	-0.00514388341661	-0.0278047951892	0.0423308238489	0.0586761943086	-0.0204439088127	-0.00424508214032	0.0199940568498	0.0217514796651	0.0173659171344	0.0289428201033	-0.0295325717317	0.0395749634412	-0.0207498706064	-0.00643301168157	-0.00949249182566	0.00376154537559	0.00729679023216	-0.0127441725729	-0.00805611457232	-0.00848348678821	-0.0181588291226	0.0030329917933	-0.000802165053722	0.0263268548489	0.00552449617365	0.00375585526037	-0.0295584919254	-0.00550024410441	-0.0474210124465	-0.000954609336751	0.0127056343376	-0.00383259738302	0.0181519077743	-0.00390368928514	0.00670816721819	0.0126793458381	0.000298303639767	0.0191089205805	0.000259286784334	0.00707780363776	0.00147011892412	-0.00776046163018	0.0150762892764	0.0145770809216	0.00647895328471	0.010287866558	-0.00726845988286	0.00307135265938	0.000114729961042	0.000562290452903	-0.000424807991664	0.00148025017691	0.00687778174228	-0.00276017357929	-0.00716815460485	-0.00344242342683	0.00262029455407	-0.000532184342527	0.00307941664346	-0.00221670159213	0.000194291296413	0.000344816526392	-4.43410108631e-09
TH.CVA.WT.Fec.732553	-0.235422855226	-0.0178933412521	0.0317591315528	-0.00820549073306	0.0234691732479	-0.0680248285539	0.0167987215509	0.0533338393532	-0.062162620876	0.0371981140417	-0.00695908133089	-0.0189891081072	-0.00480793641052	-0.0360973576748	-0.0506348733554	-0.00543559646103	0.0240729710377	-0.00176565739521	-0.0129819072159	0.034032088099	-0.0262076283706	0.0248835589965	0.00193970767141	0.0151376992825	0.00929547293836	-0.0474708866657	-0.034812419488	0.012397797879	0.0147425341282	0.0226055600872	-0.00942683929327	0.0295281054762	-0.0238707110701	0.00325067289145	-0.00557787827563	-0.0350321588554	-0.0063187275979	-0.00949552377052	0.0224084710912	-0.00228344277368	0.00277355807864	-0.00474431253042	-0.00917692591539	-0.0165901695143	-0.0123046286042	-0.00500869763189	0.0149945772018	-0.0109914888178	-0.00333774144341	0.00453739615075	-0.00812061312424	0.0155159460475	-0.00403168741545	0.00788739430827	0.0161636821583	0.022493491635	0.0139231960527	0.00841410513971	-0.00724311002362	0.0197974480546	-0.0161712579727	0.00860310337348	0.00839796146396	-0.0102698553455	-0.0258380704558	-0.00303291262305	0.00272330724449	-0.00233262148647	-0.000206856450621	0.00437193629234	-0.00952449070636	-0.000827673029008	0.00335290442859	0.00233068461286	0.0037165523326	-0.00361263578678	-0.000657887506011	-4.43410108638e-09
