pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
Elizabeth.Chris.WT.Ile.732542	-0.246428935072	0.066935388835	-0.0296639384441	0.0428534657113	-0.00544158080137	0.0835679253222	-0.033564144277	-0.0934609199269	0.0371562460338	-0.0011329570784	0.0336196218567	-0.00772931990083	0.0116837482295	-0.0527540198454	0.116607910776	-0.00419581554036	0.109803386631	-0.138064284895	0.049161967104	-0.0291425348336	0.0938679112149	-0.0463923289772	-0.0314070156188	-0.00224509786467	-0.000537404570253	0.0275718396378	-0.0211093642864	-0.0722094911302	-0.013355690566	-0.0488302920085	0.0757278450487	0.0534575184559	0.0149377826377	-0.0628837896001	-0.00835856843081	-0.048624212623	0.071673551072	0.00822536501791	0.00512190917627	0.0578275576682	0.00260501652864	-0.0516255110876	-0.0551859166314	0.0393920071087	0.00439496733733	0.00598081108418	0.00856206240856	0.0231729005622	0.0360675818359	-0.016186057876	-0.0208585373688	-0.00360432079005	-0.00790826509772	-0.0113088473949	0.010428344942	0.0144797312721	0.0194885304413	0.0364922114594	-0.00110411031406	-0.0192167853744	-0.00934972473943	-0.00510726981143	0.00576486094094	0.010619082714	0.0311181530279	-0.015689591159	-0.0178086814513	-0.0134451811151	0.0079836763948	0.0210391339852	-0.00414685711002	0.00314492545994	-0.00133424115566	-0.00348285807787	0.000622581115104	0.000165980807021	-0.000950458633122	7.0275722291e-09
Uri.Jake.TGIle.732486	0.260741803886	-0.0525908981814	-0.0903469601305	0.125751122042	0.0026169726785	0.0382872858205	0.0103327461973	-0.0742352326444	-0.0854558291471	-0.0429524928977	0.0584522326362	0.0445859495097	0.0691039871134	0.0896579033635	0.0472377858317	-0.0503467491957	-0.0519297963749	-0.0288050768039	0.0422876458091	0.0253897246882	0.0421746035021	-0.0371775965058	-0.0313750742733	-0.0169919617772	0.0156532101608	0.00192306053126	-0.0348307986562	0.0521676029827	0.0437842482288	-0.080176841267	-0.0108134838481	-0.0266958747856	0.0590592047338	0.0273855093802	0.0500200201656	-0.0255343211237	0.0193610341099	-0.0161144129977	-0.0642603754395	0.0184808385391	0.00164852992803	0.0265192445085	-0.0297089305647	-0.0072400300361	0.0668245587516	-0.0635209028557	0.0261246817053	-0.0025918651182	-0.045881308531	0.0525362837723	0.0299104144472	0.0137169323184	0.0234302165269	-0.00867059530442	0.0588638649395	0.00326060802442	-0.00137042694896	0.0361044613194	-0.017724605709	0.036345808933	-0.00508235825382	0.0138838222981	-0.00889413557401	-0.00714211549083	-0.0164116329694	-0.0170550135796	-0.00981315885973	0.00986823794582	-0.0276126879099	-0.0108255202421	0.00726862895698	0.00530324433098	0.00400377844498	-0.000239388137527	-0.00367291842368	0.00251610587195	0.00276533604148	7.02757222909e-09
Joey.Aaron.Kyle.WT.Ile.732540	-0.309532707983	0.020065246514	-0.0871060161825	0.0186311725646	0.0357684896129	0.00834480956762	0.0282098537617	-0.0801336450098	-0.0269964762167	0.0511691130898	0.0634833794184	0.0512172494309	-0.118552289896	0.104412495907	-0.000807093494613	0.00400739280875	-0.044916988001	0.0272175919027	-0.0581357943092	-0.0102115962742	0.0373054332239	0.0120134599935	-0.104676267796	0.0081116001864	-0.06279108103	-0.054364527996	-0.0169524523456	0.00187843065638	0.0408912908232	-0.020986502721	-0.00128161879409	-0.0657116279491	-0.0382231215609	-0.0260840377148	-0.0163559434459	0.0622458764065	0.045008114712	-0.0404094427598	-0.0124620301995	-0.000440694925636	-0.098123743785	-0.00114139544908	0.071437216021	-0.000411464985669	0.0384004271836	0.0758753674594	-0.0194583124328	0.0110437058837	-0.00844410042185	-0.0545751960303	-0.0326684592693	-0.0069832974271	-0.0444253352256	0.0100632553889	0.0398865460186	-0.00662150695576	0.00570063725891	0.0110807961089	0.0299498476079	0.0227968514326	0.00271206654369	0.00600241192333	0.00279072476086	-0.00684657546232	0.0058922411664	-0.00849071083181	-0.0108823859522	0.000365112315419	0.00984930534941	-0.000843964585767	0.00329051529151	-0.00496352540732	0.00564282559113	0.0027379028608	-0.00422377443787	-0.000201377220267	0.00264103264645	7.02757222909e-09
Wang.TG.Fec.732515	0.189841667888	0.11793592185	-0.00442720800286	0.0133894605979	-0.126073400105	-0.162479235193	-0.0290450230292	0.0177637173057	0.057158048904	0.091977832448	-0.0605134715675	-0.0496527836056	0.0425845634594	-0.0366738337016	0.0110673879344	-0.00228167122796	0.00382557654662	0.0575774630224	-0.0332850348153	0.0105835259041	-0.0126447550471	0.0224255825396	0.00332759695461	0.0298135167574	0.0202366114174	0.0379981655576	-0.0390255511061	0.0610422868627	0.043181016165	-0.0531006386974	-0.00543946471165	0.0238332520977	-0.028998141006	0.0407643739721	0.00443443156192	0.0323257532676	-0.0327424053262	-0.0260009744388	-0.0487485692728	0.0539654906282	-0.0734758172597	-0.00385867504759	-0.0306996757849	0.0105486467067	0.0169485524793	-0.0450236355091	0.0427502315549	-0.00574026581127	0.00897413943647	0.00437489163851	-0.0134194577743	-0.0141551239243	-0.0374319384697	0.00598880356728	-0.023197747964	0.0042860642999	-0.00201258833521	-0.00639071259856	0.0029236181664	0.00724650730705	-0.000503910858444	-0.0236110233116	-0.0242987082369	0.00355270345017	-0.0112687806888	-0.00575862237696	4.64603110811e-05	-0.00605338720771	0.0465199753947	0.016989954021	-0.0190175333245	0.0115917548296	-0.00296497966135	-0.0276697310002	-0.00654586430675	0.00379074791588	0.00103553318246	7.02757222909e-09
Ryan.WT.Abd.732465	-0.370408500323	0.0581743816298	-0.0907336105437	-0.016212298561	0.0104423789953	0.028161791254	0.148976613234	-0.0307060724838	0.0643000478454	-0.113254585436	0.002109711812	-0.0452615396649	-0.00537177493347	0.0299996382131	-0.0414065730443	-0.00888791316778	-0.0303508183878	0.0856396908662	0.0292974532528	0.0949414614476	-0.0290791707855	-0.0140995101381	-0.0013950379344	-0.0463187148847	0.0806922354889	0.0570843414315	0.0252203104711	0.00718902907675	0.0103961002641	-0.0309825660128	0.0559707526004	-0.00667691943678	0.0097002113264	0.0162884197324	-0.0126031016691	-0.0491944257122	0.0258597182735	-0.000987541052623	0.0175071665253	-0.0590019958554	-0.0113707961033	0.0571194292739	-0.013035590422	0.0288149830893	0.0214105331555	0.0360375737999	-0.0618202682847	0.0371956874238	0.0177981896342	-0.0154957226724	0.0268070923891	0.0702512376063	-0.0136398102976	-0.0610909572449	0.000396130398431	-0.0303609593552	-0.0211298919809	-0.017475597666	-0.0283583041026	-0.00853984667236	-0.0222678222491	-0.0188944217853	-0.0141024973713	0.0125050985137	-0.0217259188992	0.0033078835994	-0.0170600293105	-0.0146730256539	0.0063347373199	0.010660285604	-0.00603352082946	0.00154575359324	0.0011808076241	-0.0105958358937	0.00244099507274	0.000499444577493	0.00204060762707	7.02757222909e-09
TH.CVA.WT.Col.732504	0.0947445899952	0.192121806875	0.0341887182557	-0.0497907533909	-0.0702982758591	0.0489707666459	-0.0728558284899	-0.000765012345243	0.0602392117169	0.0863098217244	-0.0349112265692	-0.0276404656314	-0.00571681540639	-0.0205833966581	-0.0944560639738	-0.0588863303735	0.0543970328119	-0.0264025104384	-0.0192808630823	-0.014519187459	0.0228862608595	-0.00243530972281	0.00137517566473	0.00248411086637	0.00343207548502	-0.00454764667128	-0.0742774957034	-0.0430036688247	-0.0274030466148	-0.0420594165183	0.0318145873342	0.0136747587704	0.000830671263678	0.00975118661639	-0.00791547205908	0.022164683851	0.022331973852	0.00363857216194	-0.01218929673	0.000208581485615	0.0252911664587	0.00473702490404	0.0225890991429	-0.0547514392686	0.032147610594	-0.05053386925	-0.0570043864064	-0.0225880030233	0.0017129402042	-0.0257126884374	-0.0277268947323	-0.00605575065584	-0.0163570723735	-0.0181827778064	-0.0140430654981	-0.00274956900464	-0.0350076772562	-0.00995599258604	-0.0579008053512	-0.0180979671602	-0.00233711130325	0.0627865885401	0.027721073941	0.0118866466546	-0.0273260524012	-0.00710250582446	-0.0136316229817	-0.011112717531	0.00959597289807	-0.0243893073469	-0.00192506608536	-0.0187128660748	0.004369866611	0.00121639076203	-0.0113745807525	-0.00715066877541	-0.00275458773926	7.0275722291e-09
Gail.TG.Col.732544	0.159201333811	0.0890472885477	-0.017527814924	0.0511345547352	0.106000109476	-0.135873945266	0.041148565361	-0.0366774400943	-0.0427314449648	0.00555828036404	-0.0237797674204	-0.0135033525535	0.0101906558313	-0.0485302965682	0.0289523731473	0.0396503828651	0.0496337123433	-0.00548830883445	0.0510585838369	0.013782811929	-0.0227491996864	0.0173080518827	-0.0327551957199	-0.0672506493964	-0.0160637630873	-0.00279048206331	0.0626033339145	-0.035856930932	0.00493974593099	-0.0107887014126	-0.0140838111923	0.0380959909117	-0.047979425936	0.0320090973012	0.0230171300575	0.0149283778233	0.000158329793972	0.014505300073	0.00116505096111	-0.0302143917117	0.0471660991642	0.00866634243901	0.0575002036395	-0.0341094814343	0.0214434610561	0.0121489377495	0.0440828134539	-0.00634998261969	-0.0263576310306	-0.0823461831304	0.0297220675018	0.00639807579723	0.013799682385	0.00966602847612	0.0135910901679	-0.00242170306334	-0.00913602168922	0.0267030632222	0.0184540361134	-0.0468510318637	-0.0109639875915	0.000469173056534	-0.0159511851466	-0.011879994044	-0.0109103026108	-0.0113462876763	0.00986041623032	-0.0147308413021	-0.0275744665543	0.0112550553044	-0.0240057776409	0.0124306019575	0.0189011708412	-0.00552750470745	-0.0115734262645	0.00264985958342	-0.00832482691696	7.0275722291e-09
TH.CVA.WT.Ile.732517	0.0510481822094	0.24094682478	0.0744955698109	-0.115750172169	-0.0243532215799	0.100748190359	0.068342317593	-0.0200812838753	-0.0229666974323	0.0529045311094	-0.0115363611334	0.0385553706769	-0.017500724543	0.00501481879442	-0.0224395273371	0.0228141021786	-0.0187020154837	-0.0654379092453	-0.0702465588525	0.0320842953743	0.00606056189672	0.0294461375831	0.0647455918074	0.0188146232864	0.0136744072343	0.0675555757234	-0.0159209728833	-0.0244654300388	8.25043290707e-05	-0.0452418855906	-0.0163692792209	-0.00749472497305	-0.00205865239447	-0.0188360292366	0.0348016728109	-0.0242468841078	-0.0451299295611	0.0406211592357	0.0593878025924	-0.0135773262403	-0.0294376326465	0.0279185704195	0.00522400719409	0.0170865019095	0.0102136297793	-0.00492464528108	-0.00413646077739	-0.0237393339941	-0.01605688848	0.00527213901346	0.0146883351864	-0.0395086138766	0.0292049798714	0.004068506974	0.0123751890524	-0.0512689014099	0.0139686198395	0.0282283794891	0.0261976621114	0.0126235370263	-0.0100408903213	0.0134338604014	-0.0125245323738	-0.0258842018396	-0.0223569791074	-0.0101630184509	0.00183844987712	-0.0277419250391	0.0294127714917	0.0153569995771	0.0366441105891	0.00532236517794	0.00520168729415	0.0106572372326	0.00437321790572	0.00362108470335	-0.010235492327	7.02757222911e-09
Chen.Lladser.WT.Ile.732478	0.287711447162	-0.0808586254823	-0.111272591021	0.184767301993	0.0121546900883	0.0526466542116	0.0624256748637	-0.0318630169804	-0.133795672504	-0.0643311280903	0.0211776367483	0.0378489034708	-0.0163932105588	0.0329097686376	-0.000362919256576	0.00659524382591	0.0237818562835	-0.00231706367841	0.0522281403686	-0.0333733902208	-0.0207134988622	-0.00657525525736	-0.00343981623116	0.0321355184597	0.02816048957	0.0189999241873	0.00273950455786	0.0126143337107	-0.088148252441	0.0153717721796	-0.0472170977052	-0.032134898885	0.0669873523115	0.0162686196826	-0.000517601210364	0.0205675854161	0.024902308929	0.0007685328015	-0.0222769385212	-0.0117390412601	-0.0413349974345	-0.0260960913566	0.0126778638705	-0.0115777268603	0.0139139943641	0.0325524317823	-0.010079194863	-0.0446383949932	0.00512560463062	-0.00438633684118	0.00773258686012	0.0397590099106	0.0296166293679	-0.00953576561639	-0.0535223238962	-0.00375049322519	-0.0141891548776	0.0173109043962	-0.0155885082813	0.0200369536972	-0.00368609761352	-0.0011792835916	-0.0121867945624	-0.0381488806437	0.0292610935651	0.00501877196802	0.00931896039373	-0.00379701469131	0.0177060268556	0.015655231321	-0.0138692929752	-0.0209960981003	-0.026867529812	-0.00426964601259	-0.00379199774061	-0.00581645964696	-0.00864804505263	7.02757222911e-09
TH.CVA.WT.Fec.732553	0.116496993202	0.202833430402	0.0275208126479	0.0456309484207	-0.0869636298669	0.0899106496972	0.00388126336771	0.059142708647	0.00721491060412	0.0704924658122	-0.0830331441324	-0.0104003159647	0.0130591657374	-0.0288849284427	-0.0437280678045	-0.0361602714454	-0.0335905952546	0.0333238745441	0.0012344634218	0.0319951557538	-0.0263418588747	0.0378014929091	-0.0035844226759	-0.0548263996474	0.0436351321345	0.0110677201236	0.0585076453672	-0.0112251002332	-0.0247141068935	-0.0286660601075	-0.00202302346871	-0.0241305158275	0.00162873511849	-0.0390922054172	-0.0290241911737	0.00856896002053	0.0381675409958	0.0101039771041	0.00671943625174	0.0274518387109	0.0120067081707	0.0389570494825	-0.0147407071448	-0.0511863212665	-0.0470967384282	-0.0156101334591	-0.0118230811192	-0.00390181658846	0.0435084169142	-0.0342023808027	-0.0228841158274	0.0328554760063	0.0507759037022	0.0436117479274	0.00604977914947	0.0556417050051	-0.0205529661205	0.0358107485003	0.0489758936892	0.0287955466848	-0.00501372933753	0.020037315606	-0.0500870140244	0.00797825442606	0.00471437122217	0.00829953610333	-0.0391432028858	0.0158408016668	0.00423821057799	-0.00586221427594	-0.0065161096607	-0.00611414967447	-0.000953058891143	0.00687025350915	0.00409916555139	0.00821940173606	0.00274444365024	7.02757222909e-09
