	Elizabeth.Chris.WT.Ile.732542	Uri.Jake.TGIle.732486	Joey.Aaron.Kyle.WT.Ile.732540	Wang.TG.Fec.732515	Ryan.WT.Abd.732465	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	TH.CVA.WT.Ile.732517	Chen.Lladser.WT.Ile.732478	TH.CVA.WT.Fec.732553	Gail.TG.Cec.732526	Brad.Jon.WT.Con1.732543	Joey.Aaron.Kyle.WT.Fec.732462	Uri.Jake.TGCec.732550	Wang.TG.Oral.732507	Brad.Jon.WT.Abd.732474	Elizabeth.Chris.WT.Oral.732520	Joey.Aaron.Kyle.WT.Abd.732541	Uri.Jake.TGCon1.732472	Jordan.Lisette.TG.Ile.732463	Elizabeth.Chris.WT.Fec.732549	Joshua.Jose.WTIle.732530	Gail.TG.Abd.732538	Joey.Aaron.Kyle.WT.Col.732503	Chen.Lladser.WT.Fec.732512	Joey.Aaron.Kyle.WT.Oral.732506	Chen.Lladser.WT.Col.732473	Wang.TG.Cec.732527	Joshua.Jose.WTCol.732534	Ryan.WT.Col.732487	BLANK11.732489	Joey.Aaron.Kyle.WT.Con1.732511	Elizabeth.Chris.WT.Col.732481	Nick.Krishna.TG.Cec.732493	Jordan.Lisette.TG.Cec.732483	Gail.TG.Ile.732556	Brad.Jon.WT.Fec.732480	TH.CVA.WT.Con1.732476	Brad.Jon.WT.Col.732469	Brad.Jon.WT.Oral.732528	Ryan.WT.Fec.732502	Jordan.Lisette.TG.Fec.732499	Gail.TG.Fec.732514	Uri.Jake.TGOral.732536	Ryan.WT.Con7.732519	Nick.Krishna.TG.Oral.732464	Ryan.WT.Ile.732523	Joshua.Jose.WTCec.732546	TH.CVA.WT.Cec.732496	Gail.TG.Oral.732531	Elizabeth.Chris.WT.Cec.732516	Chen.Lladser.WT.Oral.732521	Joshua.Jose.WTCon1.732471	Joshua.Jose.WTOral.732551	Chen.Lladser.WT.Con1.732529	Wang.TG.Abd.732547	Elizabeth.Chris.WT.Con1.732495	Brad.Jon.WT.Ile.732492	Chen.Lladser.WT.Abd.732488	Ryan.WT.Cec.732545	Brad.Jon.WT.Cec.732554	Ryan.WT.Oral.732500	Joshua.Jose.WTFec.732466	Jordan.Lisette.TG.Col.732461	Nick.Krishna.TG.Abd.732510	Wang.TG.Ile.732525	Nick.Krishna.TG.Con1.732508	Jordan.Lisette.TG.Oral.732539	Nick.Krishna.TG.Ile.732501	Joey.Aaron.Kyle.WT.Cec.732518	Wang.TG.Con1.732535	Gail.TG.Con1.732475	Uri.Jake.TGFec.732494	Chen.Lladser.WT.Cec.732509	Jordan.Lisette.TG.Con1.732484	Wang.TG.Col.732505	Uri.Jake.TGCol.732482	Nick.Krishna.TG.Col.732532
Gail.TG.Cec.732526	0.355976111493	0.625848114246	0.42304294563	0.33983842395	0.552033916036	0.278395072264	0.327287866483	0.399551851342	0.645066056435	0.197778891948	0.0	0.522698836889	0.30832512044	0.15779321404	0.837897928424	0.30043467309	0.68505752925	0.414414858913	0.404661906401	0.186117377839	0.318136145905	0.554506324845	0.777725478321	0.270136324845	0.289420557467	0.31539836201	0.266942161046	0.114829580179	0.341183103923	0.498918609773	0.536335244322	0.604478768066	0.83586827254	0.153693854095	0.210208224363	0.331162477632	0.143294907089	0.637296744666	0.837085127323	0.865741211287	0.335096978665	0.172701452168	0.374881218169	0.921547075017	0.59787220234	0.964869070888	0.696743427392	0.464532312457	0.181725306263	0.891867061253	0.35212220234	0.663960763937	0.593667240193	0.548822284928	0.721349600826	0.52391743978	0.488614624914	0.710664480385	0.722392395045	0.501327777013	0.190842911218	0.534501617343	0.311996524432	0.155777728837	0.655448781831	0.688102518926	0.580812147281	0.911315409498	0.332090130764	0.54431788713	0.393016896077	0.388673647626	0.326888685478	0.24738047488	0.356713578802	0.215690213352	0.224053083276	0.178022222987
Brad.Jon.WT.Con1.732543	0.507355815554	0.383585010323	0.401992105988	0.704738843772	0.547795161734	0.572130110117	0.66016991053	0.549149132829	0.401562278045	0.473542092223	0.522698836889	0.0	0.566520997935	0.567127756366	0.657484845148	0.432657928424	0.463587419133	0.403800110117	0.320493420509	0.492518086717	0.545743158981	0.488921142464	0.724630646937	0.590650523056	0.437529786648	0.43062339298	0.5178450585	0.563074239504	0.622147735719	0.507421286992	0.669373158981	0.429757949071	0.444327123193	0.577967240193	0.545692388162	0.557289587061	0.512862236752	0.278752140399	0.394551837577	0.66060541638	0.550455443909	0.548362450103	0.714211631108	0.842457873365	0.320002546456	0.860421314522	0.651554556091	0.557521693049	0.52555044735	0.701824755678	0.567856620785	0.541465395733	0.496895189264	0.662744480385	0.276976902959	0.643872450103	0.403250777701	0.272225175499	0.570072938747	0.466715450791	0.540918499656	0.255058485891	0.589633241569	0.580524893324	0.580033551273	0.270618864418	0.192146799725	0.807672704749	0.600386448727	0.435828878183	0.275191713696	0.291080440468	0.633920006882	0.465190970406	0.320093379215	0.583796992429	0.587706579491	0.453485767378
Joey.Aaron.Kyle.WT.Fec.732462	0.217167990365	0.676573991741	0.266553668273	0.50219550585	0.477086813489	0.406218582244	0.499659222299	0.46945743978	0.691855498968	0.319186806607	0.30832512044	0.566520997935	0.0	0.352082229869	0.807768279422	0.356075705437	0.67956541638	0.45100083276	0.453127577426	0.287349848589	0.219494356504	0.528056854783	0.791888231246	0.0991368616655	0.368272119752	0.391191961459	0.361896462491	0.314570722643	0.14926449415	0.411774562973	0.497643158981	0.454262787337	0.798999242946	0.339208251893	0.297427136958	0.476945464556	0.331072704749	0.645912642808	0.824266035788	0.82987377839	0.284251211287	0.27575586373	0.534144796972	0.892139738472	0.518371266345	0.928736145905	0.657429855471	0.25316339298	0.359554390915	0.859161197522	0.236778472127	0.565005471438	0.448210791466	0.512208699243	0.719964108741	0.491999793531	0.406446765313	0.719639332416	0.698627136958	0.408478417068	0.328608279422	0.567432408809	0.13722651755	0.306977990365	0.666238100482	0.704567088782	0.620348912595	0.874706999312	0.49576824501	0.3427270819	0.469439029594	0.474597075017	0.469110571232	0.361308596008	0.420385609085	0.39219339298	0.405782333104	0.285079015829
Uri.Jake.TGCec.732550	0.368148251893	0.614446022023	0.466989318651	0.279465402615	0.627414755678	0.237923592567	0.263599057123	0.402154012388	0.638294439092	0.2018329181	0.15779321404	0.567127756366	0.352082229869	0.0	0.886116937371	0.289699064006	0.703153509979	0.448121438403	0.380508871301	0.230988995182	0.324102587749	0.585819800413	0.825339366827	0.294020206469	0.249526379904	0.34893871989	0.264409855471	0.149644955265	0.404721644873	0.575388836889	0.593235216793	0.645167136958	0.849300949759	0.0914782312457	0.274115271851	0.278200096352	0.157102133517	0.634207398486	0.835656496903	0.912161376462	0.298782539573	0.243270633173	0.304972725396	0.969116558844	0.648042305575	1.01102780454	0.72532568479	0.512354735031	0.150432326222	0.938182573985	0.417971906401	0.711774060564	0.645852278045	0.603991796284	0.716472312457	0.580123331039	0.531979139711	0.732759428768	0.768211541638	0.57096056435	0.28911128011	0.539881025465	0.357145650379	0.195732154164	0.673818981418	0.698712319339	0.578975643496	0.957492284928	0.229996806607	0.581643516862	0.412147990365	0.413790825877	0.223532952512	0.20845827254	0.404965650379	0.184943331039	0.118276194081	0.168987370957
Wang.TG.Oral.732507	0.782572869924	0.779017687543	0.661228128011	1.007909883	0.609182512044	0.904981741225	0.987541472815	0.866806311081	0.765376194081	0.836581995871	0.837897928424	0.657484845148	0.807768279422	0.886116937371	0.0	0.739867412251	0.525308506538	0.662638554714	0.791990309704	0.801615141087	0.845857653131	0.665279311769	0.303547013076	0.838670798348	0.832594466621	0.676979098417	0.822009807295	0.835773799036	0.818808479009	0.651820406056	0.668469249828	0.553746028906	0.652729669649	0.872801624226	0.79131598073	0.907100502409	0.852337061253	0.661122505162	0.712601073641	0.104412670337	0.846980550585	0.805229717825	1.02247242946	0.303951197522	0.553090240881	0.281484466621	0.669994198211	0.743591603579	0.882581858224	0.102074735031	0.760623076394	0.275219339298	0.559979442533	0.634777019959	0.6584950585	0.646953055747	0.656447033723	0.72972163799	0.439385024088	0.611059593944	0.823376779078	0.633937715072	0.817988341363	0.843111761872	0.364103626979	0.722147949071	0.665670970406	0.244487625602	0.947253606332	0.626646056435	0.794767804542	0.788667515485	0.972039470062	0.847581321404	0.724534384033	0.916360075705	0.928915925671	0.796796627667
Brad.Jon.WT.Abd.732474	0.306124659326	0.515658754301	0.358663386098	0.476322759807	0.559347019959	0.342381541638	0.436305306263	0.388302284928	0.478091025465	0.253012271163	0.30043467309	0.432657928424	0.356075705437	0.289699064006	0.739867412251	0.0	0.590712849277	0.241408857536	0.282353881624	0.231749036476	0.372646111493	0.498831073641	0.71211395733	0.374508313833	0.23954633861	0.297738375774	0.254168644184	0.319236737784	0.41718136958	0.489703372333	0.515830082588	0.481904962147	0.708727501721	0.30111678596	0.306577336545	0.377707611838	0.28405889883	0.48949642808	0.655781066758	0.800103620096	0.411833193393	0.310338121129	0.487410192705	0.858975650379	0.535462993806	0.900545381968	0.665499105299	0.445053317275	0.279282663455	0.825732938747	0.360821693049	0.590253000688	0.562030970406	0.492151589814	0.534773702684	0.477612319339	0.395195602202	0.560585017206	0.648096827254	0.49250184446	0.317574776325	0.402437969718	0.397918919477	0.333251617343	0.495527061253	0.559934425327	0.410038864418	0.845405471438	0.390020454233	0.47369294563	0.364991858224	0.317530330351	0.383899160358	0.258124081211	0.316533179628	0.364308410186	0.316992353751	0.202325788025
Elizabeth.Chris.WT.Oral.732520	0.619524624914	0.509478403304	0.537233220922	0.794442092223	0.536604328975	0.68124193393	0.76721247075	0.683406944253	0.521356483138	0.657253296628	0.68505752925	0.463587419133	0.67956541638	0.703153509979	0.525308506538	0.590712849277	0.0	0.545022105988	0.572167281487	0.619341032347	0.66381514797	0.550708327598	0.728265636614	0.700620185822	0.625691218169	0.569692477632	0.685497818307	0.697902099105	0.727800096352	0.579823682037	0.763078527185	0.482228258775	0.402614900206	0.712639779766	0.6699089883	0.709149697178	0.689966090847	0.455627295251	0.455465836201	0.498928458362	0.655127845836	0.672482807983	0.803016366139	0.786307577426	0.422248203716	0.777721094288	0.538888885065	0.67158991053	0.687583193393	0.568580364763	0.671877432897	0.58189247075	0.502785278734	0.737978313833	0.436931300757	0.730681121817	0.571484556091	0.426193351686	0.548109332416	0.526471486579	0.684450612526	0.451088341363	0.700777412251	0.697498657949	0.611097515485	0.378245457674	0.512875829319	0.735242615279	0.702998341363	0.524239105299	0.552301706813	0.580819752237	0.737816675843	0.657238788713	0.578886152787	0.742010784584	0.714040041294	0.630429869236
Joey.Aaron.Kyle.WT.Abd.732541	0.414597728837	0.50233065382	0.313689353063	0.613931149346	0.501271968341	0.475618602891	0.573883799036	0.427407825189	0.476497584308	0.375553186511	0.414414858913	0.403800110117	0.45100083276	0.448121438403	0.662638554714	0.241408857536	0.545022105988	0.0	0.413091507226	0.346586083964	0.505733702684	0.452924542326	0.640870289057	0.475899318651	0.391392869924	0.295534638679	0.361975726084	0.440599511356	0.50366824501	0.437869242946	0.533667845836	0.436860261528	0.672524053682	0.45492955265	0.414647226428	0.492523406745	0.413461355816	0.472134549209	0.61886017894	0.722130192705	0.54433065382	0.424272732278	0.627045739849	0.780981108052	0.484964693737	0.821668458362	0.638528761184	0.46060642808	0.405785946318	0.747551693049	0.439261686167	0.512981927047	0.503494845148	0.509136896077	0.511269002065	0.498865278734	0.353594755678	0.536614287681	0.576568176187	0.440002553338	0.429569043359	0.369595388851	0.495680330351	0.454764039917	0.389088678596	0.555155877495	0.373660949759	0.768942161046	0.531425898142	0.424954934618	0.490424088094	0.462965189264	0.527501975224	0.390188933242	0.395101266345	0.500915643496	0.469343633861	0.344600963524
Uri.Jake.TGCon1.732472	0.404483275981	0.367459862354	0.442253523744	0.500489580179	0.663308375774	0.301876662078	0.4518260702	0.504023103923	0.390520158293	0.277735911906	0.404661906401	0.320493420509	0.453127577426	0.380508871301	0.791990309704	0.282353881624	0.572167281487	0.413091507226	0.0	0.38918827254	0.410395905024	0.599850227116	0.854037391604	0.463368981418	0.177138458362	0.441715739849	0.373860529938	0.429315271851	0.52824880936	0.619594377151	0.615705643496	0.538638059188	0.609975395733	0.411055223675	0.442189869236	0.31825476256	0.383411486579	0.332626194081	0.536864913971	0.818421438403	0.411756985547	0.43420330351	0.498964556091	0.959261328286	0.472398981418	0.975782883689	0.710139662767	0.544723441156	0.32581047488	0.849391775637	0.483280461115	0.669401596696	0.60477788713	0.618592339986	0.399921403992	0.595364769443	0.452770130764	0.447935485203	0.690016889195	0.580895010323	0.451176627667	0.313988107364	0.482339876118	0.452364287681	0.671068637302	0.417204907089	0.268996586373	0.921561706813	0.320299538885	0.527341706813	0.174016792842	0.159277962836	0.378805375086	0.255186648314	0.273565024088	0.442706421198	0.361482863042	0.287836792842
Jordan.Lisette.TG.Ile.732463	0.315921527873	0.604845519615	0.404958465244	0.397498210599	0.556719497591	0.332191885754	0.390281885754	0.363710137646	0.6088520234	0.244234384033	0.186117377839	0.492518086717	0.287349848589	0.230988995182	0.801615141087	0.231749036476	0.619341032347	0.346586083964	0.38918827254	0.0	0.334147673778	0.505112663455	0.746299979353	0.30875788713	0.298186813489	0.317016978665	0.223108059188	0.237234005506	0.341499628355	0.485822140399	0.523167955953	0.57328330351	0.803510798348	0.235743248451	0.219696490021	0.392758547832	0.208950261528	0.617091176875	0.808785313145	0.849353028217	0.373308203716	0.222225753613	0.426017508603	0.902028747419	0.587002546456	0.946759029594	0.667609353063	0.44731062629	0.255339518238	0.874278919477	0.348958217481	0.629936586373	0.596898258775	0.519977391604	0.679603922918	0.500538671714	0.461601114935	0.684464858913	0.70521339298	0.505152532691	0.223132236752	0.512892525809	0.346889415003	0.23986229181	0.5986259532	0.670115905024	0.543229717825	0.894958568479	0.390306889195	0.536033847213	0.380623565038	0.371730213352	0.382577116311	0.284752195458	0.357553145217	0.272796262904	0.285263234687	0.20362017894
